PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-17,15:12:34.69,1,1,"McGrath, Sean",1000367156,Right,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,0,0,0,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.04685,-2.686404,-3.617719,1843.906704,221.390984,1:30,6.00611,1.42532,6.63345,-20.83863,13.68209,11.04481,1.80325,-0.97094,81.24248,-6.649493,-1.611693,0.422874,,,,,,,,,,,,-6.87985,8.3378,-1.18447,50,5.81525,7.74542,-129.11168,-6.63641,-11.5584,28.06539,-18.16625,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251017-BaggettStadium-Private-1,6408e230-aba6-11f0-ac76-89f35cacca50,89.13389,,,7.80437,,,,,,,e0b0a039-cbf8-40f6-a4f2-43176a09c8da,2025-10-17,22:12:34.69,2025-10-17T15:12:34.6953216-07:00,2025-10-17T22:12:34.6953216Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,19464f7c-b738-4d7f-9096-0a0effed1a61,53.86679,-129.9495,14.0327,6.00526,-6.09411,-9.08313,-1.42083,8.09046,-5.7792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-10-17,15:12:52.45,1,2,"McGrath, Sean",1000367156,Right,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,0,1,0,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.50616,-2.631909,-2.544521,1951.116221,225.92035,1:30,6.04996,1.4518,6.55417,-19.30363,13.53272,12.81453,2.02392,0.18495,83.18613,-6.312321,-0.216679,0.412429,84.62021,6.105453,-40.680039,3964.033706,,,,131.8116,129.5679,-46.933081,1.224764,-7.52552,8.2417,-1.28123,50,5.8597,5.39794,-132.77051,-6.65046,-13.31679,30.72673,-17.58994,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251017-BaggettStadium-Private-1,6e9429d0-aba6-11f0-ac76-89f35cacca50,91.39143,5.62991,,8.32003,,,,0.0724,2.07669,-0.29056,e0b0a039-cbf8-40f6-a4f2-43176a09c8da,2025-10-17,22:12:52.45,2025-10-17T15:12:52.4531200-07:00,2025-10-17T22:12:52.4531200Z,GroundBall,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,a9647365-9609-41d3-bb4c-73f3e2448625,53.94626,-133.68066,15.36336,6.04897,-6.12943,-8.79497,-1.44697,5.7924,-6.6584,,0.0724,93.58595,-20.86116,4.54519,-0.95327,0.17804,-0.03177,0.00503,-0.00046,2.07669,13.20012,-12.24534,-0.11312,0.20447,-0.06382,0.01797,-0.00334,0.00032,-0.29056,-80.43991,1.09183,0.82405,-0.39508,0.12168,-0.03104,0.00593,-0.00063,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
3,2025-10-17,15:13:21.50,1,3,"McGrath, Sean",1000367156,Right,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,0,1,1,Cutter,Slider,InPlay,Undefined,Popup,Out,1,0,,86.74137,-0.104687,-2.699754,2113.831136,208.324154,1:00,6.05222,1.52105,6.25848,-31.32639,5.51453,2.3198,3.34505,-0.77694,79.03834,-5.956028,-2.281023,0.436854,86.22325,50.069221,2.766967,4697.134433,109.81554,113.58097,-6.36445,263.38361,145.68361,-8.566419,5.75344,-2.01099,3.24449,-1.32178,50,6.02915,5.84774,-125.92157,-1.21796,-3.20752,27.14981,-26.99915,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251017-BaggettStadium-Private-1,7fec5180-aba6-11f0-ac76-89f35cacca50,86.28146,126.40206,,7.70303,,,,1.7962,3.71304,0.49114,e0b0a039-cbf8-40f6-a4f2-43176a09c8da,2025-10-17,22:13:21.50,2025-10-17T15:13:21.5086592-07:00,2025-10-17T22:13:21.5086592Z,FlyBall,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,7f24da89-d01f-4a59-a0e2-1d2e1da9eed3,54.24168,-126.83281,13.57491,6.05482,-0.31177,-13.49957,-1.51986,5.95539,-1.60376,156.546404,1.80131,80.96237,-17.32054,3.76845,-0.30814,-0.09171,0.0323,-0.00386,0.00017,3.7084,97.04936,-23.24658,2.42685,-0.47199,0.0462,0.00685,-0.00217,0.00014,0.49484,3.83626,-6.74785,1.69018,-0.06375,-0.09508,0.02943,-0.00364,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2025-10-17,15:13:55.25,2,1,"McGrath, Sean",1000367156,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,1,0,0,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.1402,-1.204435,-1.241036,2584.827361,87.806978,9:00,6.01,1.63766,5.77216,-43.06274,0.89847,-13.93229,1.30017,-0.67845,73.54647,-9.087925,-3.740124,0.477206,,,,,,,,,,,,6.79839,1.19087,-1.5263,50,5.88418,3.04352,-116.35615,-3.83933,9.24414,23.49519,-30.55477,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251017-BaggettStadium-Private-1,940cc0f0-aba6-11f0-ac76-89f35cacca50,78.98562,,,6.59373,,,,,,,e0b0a039-cbf8-40f6-a4f2-43176a09c8da,2025-10-17,22:13:55.25,2025-10-17T15:13:55.2578048-07:00,2025-10-17T22:13:55.2578048Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,ca3dafd1-b6eb-4fbe-b821-244983974fa8,54.72986,-117.30734,11.7476,6.01457,-2.60234,-15.27739,-1.64194,2.66928,4.62207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-10-17,15:14:12.34,2,2,"McGrath, Sean",1000367156,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,1,1,0,Sweeper,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.88484,-0.241521,0.552325,2662.06659,72.274273,8:30,5.95277,1.59115,5.62825,-49.30042,-3.52957,-15.91737,1.61903,0.78009,72.0308,-9.252758,-2.298524,0.486929,,,,,,,,,,,,8.31729,-1.3376,-1.62748,50,5.90031,-0.50047,-114.52539,-2.11085,10.90613,23.65925,-33.92797,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251017-BaggettStadium-Private-1,9e3a0a10-aba6-11f0-ac76-89f35cacca50,77.40845,,,6.85405,,,,,,,e0b0a039-cbf8-40f6-a4f2-43176a09c8da,2025-10-17,22:14:12.34,2025-10-17T15:14:12.3482624-07:00,2025-10-17T22:14:12.3482624Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,f8d76469-fbf1-4899-bcf9-552ccb5fba9c,54.8742,-115.52794,11.82962,5.9593,-0.67317,-16.96399,-1.59649,-0.96261,5.45306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-10-17,15:14:31.54,2,3,"McGrath, Sean",1000367156,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,1,2,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.10184,-2.627577,-2.722534,1887.336647,237.288137,2:00,6.07468,1.46724,6.66656,-20.83985,10.34154,14.64418,1.92942,0.19463,85.7541,-6.559696,-0.056213,0.401901,,,,,,,,,,,,-8.44815,6.44059,-1.28989,50,5.88964,5.86129,-135.25725,-6.82963,-15.73349,28.03339,-20.17934,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251017-BaggettStadium-Private-1,a9a09680-aba6-11f0-ac76-89f35cacca50,93.78535,,,7.34775,,,,,,,e0b0a039-cbf8-40f6-a4f2-43176a09c8da,2025-10-17,22:14:31.54,2025-10-17T15:14:31.5411456-07:00,2025-10-17T22:14:31.5411456Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,a7bf876a-9a19-4ce8-9c3c-593ff1be41d6,53.83536,-136.04984,14.01669,6.07467,-6.2591,-10.08967,-1.4619,6.30612,-7.86675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-10-17,15:14:52.23,2,4,"McGrath, Sean",1000367156,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,1,2,1,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,84.92367,0.063292,-1.121646,2225.598132,108.091428,9:30,6.10524,1.49264,6.01786,-36.14695,2.48728,-3.8376,3.15163,0.13371,77.6743,-6.630007,-1.812517,0.44736,94.00087,-16.938406,19.440901,,,,,11.53935,10.30046,16.389087,0.077785,1.65579,1.61803,-1.40262,50,6.09049,2.5662,-123.38525,-1.05265,2.54201,25.4951,-29.69001,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251017-BaggettStadium-Private-1,b5fd42c0-aba6-11f0-ac76-89f35cacca50,84.25518,3.13177,,7.24937,,,,1.37371,3.13177,-0.16663,e0b0a039-cbf8-40f6-a4f2-43176a09c8da,2025-10-17,22:14:52.23,2025-10-17T15:14:52.2319872-07:00,2025-10-17T22:14:52.2319872Z,GroundBall,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,b2991b0e-6e36-4679-9ed9-93fde985d24e,54.48283,-124.30808,12.74755,6.10914,0.02202,-14.84501,-1.49385,2.47419,1.271,180,1.37003,124.66128,,,,,,,,3.13295,-40.2618,,,,,,,,-0.16793,44.00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-10-17,15:15:26.48,3,1,"McGrath, Sean",1000367156,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,2,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.11973,-1.91698,-1.69149,1845.670259,220.272581,1:15,6.1214,1.45708,6.62008,-17.97221,14.23839,11.14977,2.86673,0.83671,83.8011,-5.361241,0.337461,0.40848,,,,,,,,,,,,-6.32067,8.37241,-1.34609,50,5.98353,3.49843,-133.79119,-4.96508,-11.38271,30.60591,-17.09646,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251017-BaggettStadium-Private-1,ca4bee20-aba6-11f0-ac76-89f35cacca50,92.27483,,,8.31863,,,,,,,e0b0a039-cbf8-40f6-a4f2-43176a09c8da,2025-10-17,22:15:26.48,2025-10-17T15:15:26.4824832-07:00,2025-10-17T22:15:26.4824832Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,ee157593-4dc1-4f7d-a2c4-0e361e2ac149,53.87831,-134.67546,15.30295,6.11985,-4.47112,-8.54823,-1.45192,3.82731,-5.69135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-10-17,15:15:42.60,3,2,"McGrath, Sean",1000367156,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,2,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.87718,-1.816144,-2.070521,1447.626406,240.623176,2:00,5.97805,1.46664,6.62555,-28.79635,9.15142,14.00394,1.91366,0.73682,77.46406,-7.241807,0.479799,0.443368,,,,,,,,,,,,-8.01697,5.73886,-1.33158,50,5.84306,3.95373,-123.29358,-4.71761,-12.2479,26.23045,-23.40655,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251017-BaggettStadium-Private-1,d4039210-aba6-11f0-ac76-89f35cacca50,85.01387,,,7.41312,,,,,,,e0b0a039-cbf8-40f6-a4f2-43176a09c8da,2025-10-17,22:15:42.60,2025-10-17T15:15:42.6004480-07:00,2025-10-17T22:15:42.6004480Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,821c730b-1cad-4fd6-b6fe-37f9d15a5d79,53.87511,-124.11526,13.11522,5.97936,-3.98439,-11.70327,-1.46144,4.3374,-6.12395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-10-17,15:16:02.05,3,3,"McGrath, Sean",1000367156,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,2,0,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.70588,-1.652382,-2.278956,1475.670273,242.14831,2:00,5.99719,1.42078,6.67934,-30.16675,7.28422,11.24477,1.97013,0.27203,77.60603,-7.347647,-0.229334,0.440456,,,,,,,,,,,,-6.70957,4.75807,-1.27258,50,5.87472,4.54572,-124.41248,-4.44329,-10.34255,28.80776,-24.83966,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251017-BaggettStadium-Private-1,df985a70-aba6-11f0-ac76-89f35cacca50,85.57588,,,8.09985,,,,,,,e0b0a039-cbf8-40f6-a4f2-43176a09c8da,2025-10-17,22:16:02.05,2025-10-17T15:16:02.0580000-07:00,2025-10-17T22:16:02.0580000Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,af636678-91b2-4479-a012-efb063d88e67,53.82069,-125.29405,14.40388,5.99906,-3.68316,-12.41983,-1.41653,4.86222,-5.17127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.19274,,,1.055908,,,,-1.13954,5.80703,-0.09093,70.92693,7.24607,-53.88037,-1.09429,72.92092,-4.45871,5.85227,16.5291,-14.39786,-0.14385,-55.79137,4.635,High,High,High,,,High,High,High
